"LSOA11CD,C,9","LSOA11NM,C,254","Count_,N,10,0","ROAD_ID,N,5,0",Work
E01026720,King's Lynn and West Norfolk 013D,21,1,98
E01026697,King's Lynn and West Norfolk 015B,8,2,99
E01026713,King's Lynn and West Norfolk 008D,7,3,100
E01026719,King's Lynn and West Norfolk 013C,21,4,101
E01026684,King's Lynn and West Norfolk 013A,0,5,102
E01026697,King's Lynn and West Norfolk 015B,1,6,103
E01026697,King's Lynn and West Norfolk 015B,6,7,104
E01026726,King's Lynn and West Norfolk 015D,30,8,105
E01026713,King's Lynn and West Norfolk 008D,4,9,106
E01026684,King's Lynn and West Norfolk 013A,0,10,107
E01026684,King's Lynn and West Norfolk 013A,4,11,108
E01026665,King's Lynn and West Norfolk 012A,0,12,109
E01026675,King's Lynn and West Norfolk 012C,5,13,110
E01026445,Breckland 002C,7,14,111
E01026718,King's Lynn and West Norfolk 004D,24,15,112
E01026655,King's Lynn and West Norfolk 004C,2,16,113
E01026445,Breckland 002C,0,17,114
E01026445,Breckland 002C,0,18,115
E01026694,King's Lynn and West Norfolk 012D,0,19,116
E01026718,King's Lynn and West Norfolk 004D,0,20,117
E01026718,King's Lynn and West Norfolk 004D,0,21,118
E01026718,King's Lynn and West Norfolk 004D,2,22,119
E01026718,King's Lynn and West Norfolk 004D,0,23,120
E01026691,King's Lynn and West Norfolk 005A,3,24,121
E01026718,King's Lynn and West Norfolk 004D,1,25,122
E01026695,King's Lynn and West Norfolk 002D,0,26,123
E01026644,King's Lynn and West Norfolk 014C,12,27,124
E01026694,King's Lynn and West Norfolk 012D,14,28,125