"TOID,C,16","VERSION,N,2,0","VERSIONDAT,D","THEME,C,12","LASTCHANGE,D","LASTREASON,C,12","DESCRIPTIV,C,13","DESCRIPT_1,C,34","NATUREOFRO,C,31","ROADNAME,C,27","LENGTH,N,13,8","ROAD_ID,N,6,0","LSOA11CD,C,9","LSOA11NM,N,2,0","OID_1,N,3,0","GOR_CODE,C,9","GOR_NAME,C,15","LA_CODE,C,9","LA_NAME,C,28","MSOA_CODE,C,9","MSOA_NAME,C,32","LSOA11CD2,C,9","LSOA11NM2,C,33","LSOAAREA,N,9,0","LSOA_ID,N,3,0","ALL_RE,C,4","MALES,C,4","FEM,C,4","ALL_HOUSE,C,254","AGE_0_,C,254","AGE_16,C,254","AGE_65,C,254","AGE__4,C,254","NO_CAR,C,254","BAD_HL,C,254","VB_HLT,C,254","B_VB_C,C,254","LMTD_L,C,254","LMTD_2,C,254","LMTD_A,C,254","CEN_HE,C,254","RES16,C,254","DEPHSE,C,254","ONE_HO,C,254","UR1674,C,254","CARAVA,C,254","HRP65,C,254","HRP65O,C,254","ONEHSE,C,254","POP,N,10,0","WORK,N,3,0","LONEC,C,254","LONEPT,C,254","TARGET_FID,N,10,0","FID_12,N,6,0","NEW_NAME,C,254","FID_1,N,9,0"
4000000027944361,8,03/10/06,Road Network,09/01/05,Modified,Road Topology,Minor Road,Single Carriageway,CROSS DROVE,573.00000000,-9999,E01026679,0,304,E12000006,East of England,E07000146,King's Lynn and West Norfolk,E02005568,King's Lynn and West Norfolk 018,E01026679,King's Lynn and West Norfolk 018A,62494522,299,2409,1214,1195,996,397,1483,529,46,110,90,28,118,262,193,455,22,2012,336,236,1165,4,345,134,236,7,317,72,13,55536,667,UE679 - Hilgay with Denver,55536
4000000027944378,6,06/08/06,Road Network,09/01/05,Modified,Road Topology,Local Street,Single Carriageway,,83.00000000,-9998,E01026679,0,304,E12000006,East of England,E07000146,King's Lynn and West Norfolk,E02005568,King's Lynn and West Norfolk 018,E01026679,King's Lynn and West Norfolk 018A,62494522,299,2409,1214,1195,996,397,1483,529,46,110,90,28,118,262,193,455,22,2012,336,236,1165,4,345,134,236,0,317,72,13,55537,667,UE679 - Hilgay with Denver,55537
4000000027984490,5,09/16/05,Road Network,02/15/05,Modified,Road Topology,Local Street,Single Carriageway,,29.00000000,-9997,E01026716,0,296,E12000006,East of England,E07000146,King's Lynn and West Norfolk,E02005566,King's Lynn and West Norfolk 016,E01026716,King's Lynn and West Norfolk 016E,44478495,119,1871,916,955,793,310,1124,437,47,77,116,43,159,242,262,504,41,1561,253,194,766,22,279,123,194,1,317,60,14,55538,664,UE716 - Upwell and Delph,55538
4000000027984492,4,09/16/05,Road Network,02/15/05,Modified,Road Topology,Local Street,Single Carriageway,MAIN STREET,36.00000000,-9996,E01026716,0,296,E12000006,East of England,E07000146,King's Lynn and West Norfolk,E02005566,King's Lynn and West Norfolk 016,E01026716,King's Lynn and West Norfolk 016E,44478495,119,1871,916,955,793,310,1124,437,47,77,116,43,159,242,262,504,41,1561,253,194,766,22,279,123,194,0,317,60,14,55539,664,UE716 - Upwell and Delph,55539
4000000027984500,6,03/10/06,Road Network,02/08/06,Modified,Road Topology,Minor Road,Single Carriageway,,35.00000000,-9995,E01026716,0,296,E12000006,East of England,E07000146,King's Lynn and West Norfolk,E02005566,King's Lynn and West Norfolk 016,E01026716,King's Lynn and West Norfolk 016E,44478495,119,1871,916,955,793,310,1124,437,47,77,116,43,159,242,262,504,41,1561,253,194,766,22,279,123,194,1,317,60,14,55540,664,UE716 - Upwell and Delph,55540
4000000027984532,5,07/21/06,Road Network,06/09/06,Modified,Road Topology,Minor Road,Single Carriageway,WISBECH ROAD,33.00000000,-9994,E01026716,0,296,E12000006,East of England,E07000146,King's Lynn and West Norfolk,E02005566,King's Lynn and West Norfolk 016,E01026716,King's Lynn and West Norfolk 016E,44478495,119,1871,916,955,793,310,1124,437,47,77,116,43,159,242,262,504,41,1561,253,194,766,22,279,123,194,2,317,60,14,55541,664,UE716 - Upwell and Delph,55541
4000000027984552,6,07/20/06,Road Network,06/09/06,Modified,Road Topology,B Road,Single Carriageway,B1094,39.00000000,-9993,E01026716,0,296,E12000006,East of England,E07000146,King's Lynn and West Norfolk,E02005566,King's Lynn and West Norfolk 016,E01026716,King's Lynn and West Norfolk 016E,44478495,119,1871,916,955,793,310,1124,437,47,77,116,43,159,242,262,504,41,1561,253,194,766,22,279,123,194,0,317,60,14,55542,664,UE716 - Upwell and Delph,55542
4000000027984553,5,10/10/05,Road Network,09/01/05,Modified,Road Topology,Minor Road,Single Carriageway,,57.00000000,-9992,E01026716,0,296,E12000006,East of England,E07000146,King's Lynn and West Norfolk,E02005566,King's Lynn and West Norfolk 016,E01026716,King's Lynn and West Norfolk 016E,44478495,119,1871,916,955,793,310,1124,437,47,77,116,43,159,242,262,504,41,1561,253,194,766,22,279,123,194,0,317,60,14,55543,664,UE716 - Upwell and Delph,55543
4000000027984555,3,09/15/05,Road Network,02/29/04,Modified,Road Topology,A Road,Single Carriageway,A1101,367.00000000,-9991,E01026716,0,296,E12000006,East of England,E07000146,King's Lynn and West Norfolk,E02005566,King's Lynn and West Norfolk 016,E01026716,King's Lynn and West Norfolk 016E,44478495,119,1871,916,955,793,310,1124,437,47,77,116,43,159,242,262,504,41,1561,253,194,766,22,279,123,194,10,317,60,14,55544,664,UE716 - Upwell and Delph,55544
4000000027984559,4,10/08/05,Road Network,09/01/05,Modified,Road Topology,Local Street,Single Carriageway,STATION ROAD,62.00000000,-9990,E01026679,0,304,E12000006,East of England,E07000146,King's Lynn and West Norfolk,E02005568,King's Lynn and West Norfolk 018,E01026679,King's Lynn and West Norfolk 018A,62494522,299,2409,1214,1195,996,397,1483,529,46,110,90,28,118,262,193,455,22,2012,336,236,1165,4,345,134,236,1,317,72,13,55545,667,UE679 - Hilgay with Denver,55545
4000000027984562,4,02/05/06,Road Network,10/23/02,Modified,Road Topology,Private Road - Restricted Access,Single Carriageway,,53.00000000,-9989,E01026679,0,304,E12000006,East of England,E07000146,King's Lynn and West Norfolk,E02005568,King's Lynn and West Norfolk 018,E01026679,King's Lynn and West Norfolk 018A,62494522,299,2409,1214,1195,996,397,1483,529,46,110,90,28,118,262,193,455,22,2012,336,236,1165,4,345,134,236,3,317,72,13,55546,667,UE679 - Hilgay with Denver,55546
4000000028011086,5,09/17/05,Road Network,02/15/05,Modified,Road Topology,Local Street,Single Carriageway,,21.00000000,-9988,E01026716,0,296,E12000006,East of England,E07000146,King's Lynn and West Norfolk,E02005566,King's Lynn and West Norfolk 016,E01026716,King's Lynn and West Norfolk 016E,44478495,119,1871,916,955,793,310,1124,437,47,77,116,43,159,242,262,504,41,1561,253,194,766,22,279,123,194,0,317,60,14,55547,664,UE716 - Upwell and Delph,55547
4000000028011108,6,03/11/06,Road Network,02/08/06,Modified,Road Topology,Private Road - Restricted Access,Single Carriageway,,118.00000000,-9987,E01026716,0,296,E12000006,East of England,E07000146,King's Lynn and West Norfolk,E02005566,King's Lynn and West Norfolk 016,E01026716,King's Lynn and West Norfolk 016E,44478495,119,1871,916,955,793,310,1124,437,47,77,116,43,159,242,262,504,41,1561,253,194,766,22,279,123,194,7,317,60,14,55548,664,UE716 - Upwell and Delph,55548
4000000028011111,4,07/20/06,Road Network,06/09/06,Modified,Road Topology,B Road,Single Carriageway,MARCH ROAD,30.00000000,-9986,E01026716,0,296,E12000006,East of England,E07000146,King's Lynn and West Norfolk,E02005566,King's Lynn and West Norfolk 016,E01026716,King's Lynn and West Norfolk 016E,44478495,119,1871,916,955,793,310,1124,437,47,77,116,43,159,242,262,504,41,1561,253,194,766,22,279,123,194,0,317,60,14,55549,664,UE716 - Upwell and Delph,55549
4000000028011112,5,07/21/06,Road Network,06/09/06,Modified,Road Topology,Minor Road,Single Carriageway,WISBECH ROAD,26.00000000,-9985,E01026716,0,296,E12000006,East of England,E07000146,King's Lynn and West Norfolk,E02005566,King's Lynn and West Norfolk 016,E01026716,King's Lynn and West Norfolk 016E,44478495,119,1871,916,955,793,310,1124,437,47,77,116,43,159,242,262,504,41,1561,253,194,766,22,279,123,194,0,317,60,14,55550,664,UE716 - Upwell and Delph,55550
4000000028011119,6,01/27/06,Road Network,11/15/05,Modified,Road Topology,Private Road - Restricted Access,Single Carriageway,,19.00000000,-9984,E01026716,0,296,E12000006,East of England,E07000146,King's Lynn and West Norfolk,E02005566,King's Lynn and West Norfolk 016,E01026716,King's Lynn and West Norfolk 016E,44478495,119,1871,916,955,793,310,1124,437,47,77,116,43,159,242,262,504,41,1561,253,194,766,22,279,123,194,0,317,60,14,55551,664,UE716 - Upwell and Delph,55551
4000000028011120,5,01/27/06,Road Network,11/15/05,Modified,Road Topology,Private Road - Restricted Access,Single Carriageway,,19.00000000,-9983,E01026716,0,296,E12000006,East of England,E07000146,King's Lynn and West Norfolk,E02005566,King's Lynn and West Norfolk 016,E01026716,King's Lynn and West Norfolk 016E,44478495,119,1871,916,955,793,310,1124,437,47,77,116,43,159,242,262,504,41,1561,253,194,766,22,279,123,194,0,317,60,14,55552,664,UE716 - Upwell and Delph,55552
4000000028011121,7,07/20/06,Road Network,06/09/06,Modified,Road Topology,B Road,Single Carriageway,B1094,23.00000000,-9982,E01026716,0,296,E12000006,East of England,E07000146,King's Lynn and West Norfolk,E02005566,King's Lynn and West Norfolk 016,E01026716,King's Lynn and West Norfolk 016E,44478495,119,1871,916,955,793,310,1124,437,47,77,116,43,159,242,262,504,41,1561,253,194,766,22,279,123,194,0,317,60,14,55553,664,UE716 - Upwell and Delph,55553
4000000028011122,7,07/22/06,Road Network,06/09/06,Modified,Road Topology,Private Road - Restricted Access,Single Carriageway,,23.00000000,-9981,E01026716,0,296,E12000006,East of England,E07000146,King's Lynn and West Norfolk,E02005566,King's Lynn and West Norfolk 016,E01026716,King's Lynn and West Norfolk 016E,44478495,119,1871,916,955,793,310,1124,437,47,77,116,43,159,242,262,504,41,1561,253,194,766,22,279,123,194,0,317,60,14,55554,664,UE716 - Upwell and Delph,55554
